Libellé;reg;type;age;nbsej;DMS;;;;;;;;;;;;
Basse-Normandie;28;0;46;23178;4,3;;;;;;;;;;;;
Bourgogne;26;0;46;28315;4,3;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;46;79761;4,2;;;;;;;;;;;;
Lorraine;45;0;46;41166;4,4;;;;;;;;;;;;
Alsace;46;0;46;35797;4,3;;;;;;;;;;;;
Franche-Comté;27;0;46;17850;4,2;;;;;;;;;;;;
Pays-de-Loire;52;0;46;60815;3,7;;;;;;;;;;;;
Bretagne;53;0;46;51365;4,2;;;;;;;;;;;;
Poitou-Charentes;75;0;46;26151;4,1;;;;;;;;;;;;
Aquitaine;73;0;46;58861;3,9;;;;;;;;;;;;
Midi-Pyrénées;76;0;46;51983;3,6;;;;;;;;;;;;
Limousin;74;0;46;14312;4,1;;;;;;;;;;;;
Rhône-Alpes;84;0;46;109514;4;;;;;;;;;;;;
Auvergne;85;0;46;22651;4,1;;;;;;;;;;;;
Languedoc-Roussillon;77;0;46;48721;4,2;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;46;93817;4;;;;;;;;;;;;
Corse;94;0;46;4713;3,9;;;;;;;;;;;;
Guadeloupe;1;0;46;8014;4,3;;;;;;;;;;;;
Martinique;2;0;46;6226;5,3;;;;;;;;;;;;
Guyane;3;0;46;2586;7,5;;;;;;;;;;;;
Réunion;4;0;46;16031;4,2;;;;;;;;;;;;
Mayotte;6;0;46;746;10,5;;;;;;;;;;;;
Ile-de-France;11;0;56;412003;5,5;;;;;;;;;;;;
Champagne-Ardenne;44;0;56;55003;5,2;;;;;;;;;;;;
Picardie;31;0;56;67932;5,4;;;;;;;;;;;;
Haute-Normandie;29;0;56;66200;5;;;;;;;;;;;;
Centre;24;0;56;92202;5,2;;;;;;;;;;;;
Basse-Normandie;28;0;56;56813;5,4;;;;;;;;;;;;
Bourgogne;26;0;56;71525;5,3;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;56;174373;5,2;;;;;;;;;;;;
Lorraine;45;0;56;100227;5,3;;;;;;;;;;;;
Alsace;46;0;56;81327;5,3;;;;;;;;;;;;
Franche-Comté;27;0;56;42064;5,3;;;;;;;;;;;;
Pays-de-Loire;52;0;56;140790;4,6;;;;;;;;;;;;
Bretagne;53;0;56;129111;5,1;;;;;;;;;;;;
Poitou-Charentes;75;0;56;67370;4,9;;;;;;;;;;;;
Aquitaine;73;0;56;142232;4,8;;;;;;;;;;;;
Midi-Pyrénées;76;0;56;119309;4,5;;;;;;;;;;;;
Limousin;74;0;56;37575;5,2;;;;;;;;;;;;
Rhône-Alpes;84;0;56;244416;4,9;;;;;;;;;;;;
Auvergne;85;0;56;60570;5,3;;;;;;;;;;;;
Languedoc-Roussillon;77;0;56;117178;5;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;56;211782;4,9;;;;;;;;;;;;
Corse;94;0;56;10822;4,8;;;;;;;;;;;;
Guadeloupe;1;0;56;14445;5;;;;;;;;;;;;
Martinique;2;0;56;10914;6,2;;;;;;;;;;;;
Guyane;3;0;56;3534;8,2;;;;;;;;;;;;
Réunion;4;0;56;25280;5,1;;;;;;;;;;;;
Mayotte;6;0;56;972;12,2;;;;;;;;;;;;
Ile-de-France;11;0;70;230866;6,7;;;;;;;;;;;;
Champagne-Ardenne;44;0;70;33036;6,8;;;;;;;;;;;;
Picardie;31;0;70;39893;6,9;;;;;;;;;;;;
Haute-Normandie;29;0;70;38549;6,3;;;;;;;;;;;;
Centre;24;0;70;59747;6,6;;;;;;;;;;;;
Basse-Normandie;28;0;70;37485;6,8;;;;;;;;;;;;
Bourgogne;26;0;70;47982;6,7;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;70;89613;6,5;;;;;;;;;;;;
Lorraine;45;0;70;64848;6,7;;;;;;;;;;;;
Alsace;46;0;70;52463;6,7;;;;;;;;;;;;
Franche-Comté;27;0;70;27311;6,9;;;;;;;;;;;;
Pays-de-Loire;52;0;70;85157;5,9;;;;;;;;;;;;
Bretagne;53;0;70;83622;6,5;;;;;;;;;;;;
Poitou-Charentes;75;0;70;45176;6,1;;;;;;;;;;;;
Aquitaine;73;0;70;89822;6;;;;;;;;;;;;
Midi-Pyrénées;76;0;70;78170;5,7;;;;;;;;;;;;
Limousin;74;0;70;24694;6,7;;;;;;;;;;;;
Rhône-Alpes;84;0;70;157899;6,4;;;;;;;;;;;;
Auvergne;85;0;70;39675;7;;;;;;;;;;;;
Languedoc-Roussillon;77;0;70;74613;6,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;70;149840;6;;;;;;;;;;;;
Corse;94;0;70;7695;6,3;;;;;;;;;;;;
Guadeloupe;1;0;70;7941;6,2;;;;;;;;;;;;
Martinique;2;0;70;6955;7,4;;;;;;;;;;;;
Guyane;3;0;70;1372;9,6;;;;;;;;;;;;
Réunion;4;0;70;13050;6,5;;;;;;;;;;;;
Mayotte;6;0;70;408;10,1;;;;;;;;;;;;
Ile-de-France;11;0;80;246044;8,7;;;;;;;;;;;;
Champagne-Ardenne;44;0;80;37443;8,9;;;;;;;;;;;;
Picardie;31;0;80;49794;9;;;;;;;;;;;;
Haute-Normandie;29;0;80;44112;8,2;;;;;;;;;;;;
Centre;24;0;80;74305;9;;;;;;;;;;;;
Basse-Normandie;28;0;80;53396;8,9;;;;;;;;;;;;
Bourgogne;26;0;80;61067;8,9;;;;;;;;;;;;
Nord-Pas-de-Calais;32;0;80;100741;8,4;;;;;;;;;;;;
Lorraine;45;0;80;73394;8,5;;;;;;;;;;;;
Alsace;46;0;80;52574;8,5;;;;;;;;;;;;
Franche-Comté;27;0;80;32887;9,6;;;;;;;;;;;;
Pays-de-Loire;52;0;80;101779;8,2;;;;;;;;;;;;
Bretagne;53;0;80;105985;8,6;;;;;;;;;;;;
Poitou-Charentes;75;0;80;58674;8,1;;;;;;;;;;;;
Aquitaine;73;0;80;107612;8;;;;;;;;;;;;
Midi-Pyrénées;76;0;80;93868;7,7;;;;;;;;;;;;
Limousin;74;0;80;30165;9,2;;;;;;;;;;;;
Rhône-Alpes;84;0;80;173956;8,6;;;;;;;;;;;;
Auvergne;85;0;80;46371;9,4;;;;;;;;;;;;
Languedoc-Roussillon;77;0;80;76467;8,2;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;0;80;161550;7,9;;;;;;;;;;;;
Corse;94;0;80;7965;8,3;;;;;;;;;;;;
Guadeloupe;1;0;80;5831;7,3;;;;;;;;;;;;
Martinique;2;0;80;6112;8,4;;;;;;;;;;;;
Guyane;3;0;80;803;12,3;;;;;;;;;;;;
Réunion;4;0;80;9132;7,4;;;;;;;;;;;;
Mayotte;6;0;80;159;7,9;;;;;;;;;;;;
Ile-de-France;11;1;0;160097;0,2;;;;;;;;;;;;
Champagne-Ardenne;44;1;0;16606;0,2;;;;;;;;;;;;
Picardie;31;1;0;19271;0,3;;;;;;;;;;;;
Haute-Normandie;29;1;0;23309;0,2;;;;;;;;;;;;
Centre;24;1;0;26514;0,2;;;;;;;;;;;;
Basse-Normandie;28;1;0;15272;0,2;;;;;;;;;;;;
Bourgogne;26;1;0;16347;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;0;73118;0,2;;;;;;;;;;;;
Lorraine;45;1;0;25357;0,2;;;;;;;;;;;;
Alsace;46;1;0;18784;0,2;;;;;;;;;;;;
Franche-Comté;27;1;0;12571;0,3;;;;;;;;;;;;
Pays-de-Loire;52;1;0;55028;0,2;;;;;;;;;;;;
Bretagne;53;1;0;34247;0,2;;;;;;;;;;;;
Poitou-Charentes;75;1;0;18929;0,2;;;;;;;;;;;;
Aquitaine;73;1;0;38683;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;0;36628;0,2;;;;;;;;;;;;
Limousin;74;1;0;7004;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;0;79552;0,2;;;;;;;;;;;;
Auvergne;85;1;0;14737;0,2;;;;;;;;;;;;
Languedoc-Roussillon;77;1;0;33129;0,2;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;0;68238;0,2;;;;;;;;;;;;
Corse;94;1;0;2732;0,3;;;;;;;;;;;;
Guadeloupe;1;1;0;3212;0,3;;;;;;;;;;;;
Martinique;2;1;0;2759;0,2;;;;;;;;;;;;
Guyane;3;1;0;1237;0,4;;;;;;;;;;;;
Réunion;4;1;0;10904;0,2;;;;;;;;;;;;
Mayotte;6;1;0;2240;0,2;;;;;;;;;;;;
Ile-de-France;11;1;17;85219;0,1;;;;;;;;;;;;
Champagne-Ardenne;44;1;17;9508;0,2;;;;;;;;;;;;
Picardie;31;1;17;10635;0,2;;;;;;;;;;;;
Haute-Normandie;29;1;17;13683;0,2;;;;;;;;;;;;
Centre;24;1;17;14666;0,2;Age 17-25 ans;;Age 26-45 ans;;Age 46-55 ans;;Age 56-70 ans;;Age 70-80 ans;;Age > 80 ans;
Basse-Normandie;28;1;17;9584;0,2;Nb séjours;DMS;Nb séjours;DMS;Nb séjours;DMS;Nb séjours;DMS;Nb séjours;DMS;Nb séjours;DMS
Bourgogne;26;1;17;11219;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;17;42588;0,1;;;;;;;;;;;;
Lorraine;45;1;17;16215;0,1;;;;;;;;;;;;
Alsace;46;1;17;12365;0,1;;;;;;;;;;;;
Franche-Comté;27;1;17;7082;0,2;;;;;;;;;;;;
Pays-de-Loire;52;1;17;30005;0,1;;;;;;;;;;;;
Bretagne;53;1;17;19538;0,2;;;;;;;;;;;;
Poitou-Charentes;75;1;17;11628;0,2;;;;;;;;;;;;
Aquitaine;73;1;17;32216;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;17;22436;0,1;;;;;;;;;;;;
Limousin;74;1;17;4166;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;17;50470;0,1;;;;;;;;;;;;
Auvergne;85;1;17;8880;0,1;;;;;;;;;;;;
Languedoc-Roussillon;77;1;17;21527;0,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;17;45977;0,1;;;;;;;;;;;;
Corse;94;1;17;2171;0,2;;;;;;;;;;;;
Guadeloupe;1;1;17;2284;0,2;;;;;;;;;;;;
Martinique;2;1;17;1642;0,2;;;;;;;;;;;;
Guyane;3;1;17;772;0,3;;;;;;;;;;;;
Réunion;4;1;17;6088;0,2;;;;;;;;;;;;
Mayotte;6;1;17;864;0,2;;;;;;;;;;;;
Ile-de-France;11;1;26;297062;0,1;;;;;;;;;;;;
Champagne-Ardenne;44;1;26;26665;0,1;;;;;;;;;;;;
Picardie;31;1;26;32158;0,2;;;;;;;;;;;;
Haute-Normandie;29;1;26;41471;0,1;;;;;;;;;;;;
Centre;24;1;26;41906;0,2;;;;;;;;;;;;
Basse-Normandie;28;1;26;26342;0,2;;;;;;;;;;;;
Bourgogne;26;1;26;31757;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;26;122068;0,1;;;;;;;;;;;;
Lorraine;45;1;26;49424;0,1;;;;;;;;;;;;
Alsace;46;1;26;42506;0,1;;;;;;;;;;;;
Franche-Comté;27;1;26;22273;0,2;;;;;;;;;;;;
Pays-de-Loire;52;1;26;80071;0,1;;;;;;;;;;;;
Bretagne;53;1;26;57421;0,2;;;;;;;;;;;;
Poitou-Charentes;75;1;26;30776;0,2;;;;;;;;;;;;
Aquitaine;73;1;26;85553;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;26;62627;0,1;;;;;;;;;;;;
Limousin;74;1;26;11938;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;26;137839;0,1;;;;;;;;;;;;
Auvergne;85;1;26;25261;0,1;;;;;;;;;;;;
Languedoc-Roussillon;77;1;26;61446;0,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;26;129738;0,1;;;;;;;;;;;;
Corse;94;1;26;6795;0,1;;;;;;;;;;;;
Guadeloupe;1;1;26;8630;0,1;;;;;;;;;;;;
Martinique;2;1;26;4925;0,2;;;;;;;;;;;;
Guyane;3;1;26;2261;0,2;;;;;;;;;;;;
Réunion;4;1;26;16163;0,2;;;;;;;;;;;;
Mayotte;6;1;26;1667;0,2;;;;;;;;;;;;
Ile-de-France;11;1;46;185210;0,1;;;;;;;;;;;;
Champagne-Ardenne;44;1;46;19581;0,1;;;;;;;;;;;;
Picardie;31;1;46;22516;0,1;;;;;;;;;;;;
Haute-Normandie;29;1;46;27167;0,1;;;;;;;;;;;;
Centre;24;1;46;29426;0,2;;;;;;;;;;;;
Basse-Normandie;28;1;46;20648;0,2;;;;;;;;;;;;
Bourgogne;26;1;46;24127;0,1;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;46;76345;0,1;;;;;;;;;;;;
Lorraine;45;1;46;36835;0,1;;;;;;;;;;;;
Alsace;46;1;46;30634;0,1;;;;;;;;;;;;
Franche-Comté;27;1;46;15433;0,1;;;;;;;;;;;;
Pays-de-Loire;52;1;46;55000;0,1;;;;;;;;;;;;
Bretagne;53;1;46;41411;0,2;;;;;;;;;;;;
Poitou-Charentes;75;1;46;24143;0,2;;;;;;;;;;;;
Aquitaine;73;1;46;57886;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;46;45252;0,1;;;;;;;;;;;;
Limousin;74;1;46;9624;0,1;;;;;;;;;;;;
Rhône-Alpes;84;1;46;91475;0,1;;;;;;;;;;;;
Auvergne;85;1;46;18498;0,1;;;;;;;;;;;;
Languedoc-Roussillon;77;1;46;43421;0,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;46;92828;0,1;;;;;;;;;;;;
Corse;94;1;46;5496;0,1;;;;;;;;;;;;
Guadeloupe;1;1;46;6525;0,1;;;;;;;;;;;;
Martinique;2;1;46;4528;0,2;;;;;;;;;;;;
Guyane;3;1;46;1335;0,1;;;;;;;;;;;;
Réunion;4;1;46;9809;0,2;;;;;;;;;;;;
Mayotte;6;1;46;402;0,1;;;;;;;;;;;;
Ile-de-France;11;1;56;315768;0,1;;;;;;;;;;;;
Champagne-Ardenne;44;1;56;36421;0,1;;;;;;;;;;;;
Picardie;31;1;56;41309;0,1;;;;;;;;;;;;
Haute-Normandie;29;1;56;50749;0,1;;;;;;;;;;;;
Centre;24;1;56;59198;0,1;;;;;;;;;;;;
Basse-Normandie;28;1;56;43691;0,2;;;;;;;;;;;;
Bourgogne;26;1;56;48986;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;56;125560;0,1;;;;;;;;;;;;
Lorraine;45;1;56;71529;0,1;;;;;;;;;;;;
Alsace;46;1;56;55299;0,1;;;;;;;;;;;;
Franche-Comté;27;1;56;27652;0,1;;;;;;;;;;;;
Pays-de-Loire;52;1;56;106046;0,1;;;;;;;;;;;;
Bretagne;53;1;56;84189;0,2;;;;;;;;;;;;
Poitou-Charentes;75;1;56;50689;0,1;;;;;;;;;;;;
Aquitaine;73;1;56;114974;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;56;85429;0,1;;;;;;;;;;;;
Limousin;74;1;56;21131;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;56;166013;0,1;;;;;;;;;;;;
Auvergne;85;1;56;37638;0,1;;;;;;;;;;;;
Languedoc-Roussillon;77;1;56;87914;0,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;56;175208;0,1;;;;;;;;;;;;
Corse;94;1;56;9894;0,1;;;;;;;;;;;;
Guadeloupe;1;1;56;11632;0,1;;;;;;;;;;;;
Martinique;2;1;56;7645;0,2;;;;;;;;;;;;
Guyane;3;1;56;1714;0,2;;;;;;;;;;;;
Réunion;4;1;56;14655;0,1;;;;;;;;;;;;
Mayotte;6;1;56;351;0,1;;;;;;;;;;;;
Ile-de-France;11;1;70;156086;0,1;;;;;;;;;;;;
Champagne-Ardenne;44;1;70;17680;0,1;;;;;;;;;;;;
Picardie;31;1;70;20468;0,1;;;;;;;;;;;;
Haute-Normandie;29;1;70;25224;0,1;;;;;;;;;;;;
Centre;24;1;70;33630;0,2;;;;;;;;;;;;
Basse-Normandie;28;1;70;25164;0,2;;;;;;;;;;;;
Bourgogne;26;1;70;26701;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;70;54542;0,1;;;;;;;;;;;;
Lorraine;45;1;70;35832;0,1;;;;;;;;;;;;
Alsace;46;1;70;31846;0,1;;;;;;;;;;;;
Franche-Comté;27;1;70;15613;0,1;;;;;;;;;;;;
Pays-de-Loire;52;1;70;58170;0,1;;;;;;;;;;;;
Bretagne;53;1;70;49413;0,1;;;;;;;;;;;;
Poitou-Charentes;75;1;70;28644;0,1;;;;;;;;;;;;
Aquitaine;73;1;70;64792;0,1;;;;;;;;;;;;
Midi-Pyrénées;76;1;70;47030;0,1;;;;;;;;;;;;
Limousin;74;1;70;12387;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;70;94736;0,1;;;;;;;;;;;;
Auvergne;85;1;70;19711;0,1;;;;;;;;;;;;
Languedoc-Roussillon;77;1;70;50832;0,1;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;70;105083;0,1;;;;;;;;;;;;
Corse;94;1;70;5777;0,1;;;;;;;;;;;;
Guadeloupe;1;1;70;5586;0,1;;;;;;;;;;;;
Martinique;2;1;70;4301;0,2;;;;;;;;;;;;
Guyane;3;1;70;484;0,2;;;;;;;;;;;;
Réunion;4;1;70;6487;0,2;;;;;;;;;;;;
Mayotte;6;1;70;94;0,3;;;;;;;;;;;;
Ile-de-France;11;1;80;104962;0,3;;;;;;;;;;;;
Champagne-Ardenne;44;1;80;11008;0,2;;;;;;;;;;;;
Picardie;31;1;80;14559;0,3;;;;;;;;;;;;
Haute-Normandie;29;1;80;17397;0,2;;;;;;;;;;;;
Centre;24;1;80;23999;0,3;;;;;;;;;;;;
Basse-Normandie;28;1;80;17539;0,2;;;;;;;;;;;;
Bourgogne;26;1;80;19112;0,2;;;;;;;;;;;;
Nord-Pas-de-Calais;32;1;80;37520;0,2;;;;;;;;;;;;
Lorraine;45;1;80;22884;0,3;;;;;;;;;;;;
Alsace;46;1;80;23723;0,2;;;;;;;;;;;;
Franche-Comté;27;1;80;10759;0,2;;;;;;;;;;;;
Pays-de-Loire;52;1;80;38038;0,2;;;;;;;;;;;;
Bretagne;53;1;80;33691;0,3;;;;;;;;;;;;
Poitou-Charentes;75;1;80;18288;0,3;;;;;;;;;;;;
Aquitaine;73;1;80;44937;0,2;;;;;;;;;;;;
Midi-Pyrénées;76;1;80;33331;0,2;;;;;;;;;;;;
Limousin;74;1;80;9174;0,2;;;;;;;;;;;;
Rhône-Alpes;84;1;80;61112;0,3;;;;;;;;;;;;
Auvergne;85;1;80;12790;0,3;;;;;;;;;;;;
Languedoc-Roussillon;77;1;80;30160;0,2;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;1;80;60935;0,2;;;;;;;;;;;;
Corse;94;1;80;3093;0,3;;;;;;;;;;;;
Guadeloupe;1;1;80;2259;0,2;;;;;;;;;;;;
Martinique;2;1;80;2425;0,4;;;;;;;;;;;;
Guyane;3;1;80;166;0,3;;;;;;;;;;;;
Réunion;4;1;80;2688;0,3;;;;;;;;;;;;
Mayotte;6;1;80;18;0,1;;;;;;;;;;;;
Ile-de-France;11;2;0;32028;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;0;2129;0;;;;;;;;;;;;
Picardie;31;2;0;2218;0;;;;;;;;;;;;
Haute-Normandie;29;2;0;3433;0;;;;;;;;;;;;
Centre;24;2;0;2871;0;;;;;;;;;;;;
Basse-Normandie;28;2;0;2582;0;;;;;;;;;;;;
Bourgogne;26;2;0;1546;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;0;7669;0;;;;;;;;;;;;
Lorraine;45;2;0;5365;0;;;;;;;;;;;;
Alsace;46;2;0;5462;0;;;;;;;;;;;;
Franche-Comté;27;2;0;1449;0;;;;;;;;;;;;
Pays-de-Loire;52;2;0;6051;0;;;;;;;;;;;;
Bretagne;53;2;0;4835;0;;;;;;;;;;;;
Poitou-Charentes;75;2;0;1749;0;;;;;;;;;;;;
Aquitaine;73;2;0;4444;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;0;4232;0;;;;;;;;;;;;
Limousin;74;2;0;1208;0;;;;;;;;;;;;
Rhône-Alpes;84;2;0;12514;0;;;;;;;;;;;;
Auvergne;85;2;0;1456;0;;;;;;;;;;;;
Languedoc-Roussillon;77;2;0;4227;0;;;;;;;;;;;;
Provence-Alpes-Côte-d Azur;93;2;0;8844;0;;;;;;;;;;;;
Corse;94;2;0;138;0;;;;;;;;;;;;
Guadeloupe;1;2;0;324;0;;;;;;;;;;;;
Martinique;2;2;0;471;0;;;;;;;;;;;;
Guyane;3;2;0;153;0;;;;;;;;;;;;
Réunion;4;2;0;3742;0;;;;;;;;;;;;
Mayotte;6;2;0;250;0;;;;;;;;;;;;
Ile-de-France;11;2;17;26904;0;;;;;;;;;;;;
Champagne-Ardenne;44;2;17;1975;0;;;;;;;;;;;;
Picardie;31;2;17;3288;0;;;;;;;;;;;;
Haute-Normandie;29;2;17;2893;0;;;;;;;;;;;;
Centre;24;2;17;2701;0;;;;;;;;;;;;
Basse-Normandie;28;2;17;1992;0;;;;;;;;;;;;
Bourgogne;26;2;17;1933;0;;;;;;;;;;;;
Nord-Pas-de-Calais;32;2;17;8343;0;;;;;;;;;;;;
Lorraine;45;2;17;3807;0;;;;;;;;;;;;
Alsace;46;2;17;4384;0;;;;;;;;;;;;
Franche-Comté;27;2;17;2010;0;;;;;;;;;;;;
Pays-de-Loire;52;2;17;5548;0;;;;;;;;;;;;
Bretagne;53;2;17;5622;0;;;;;;;;;;;;
Poitou-Charentes;75;2;17;1299;0;;;;;;;;;;;;
Aquitaine;73;2;17;4585;0;;;;;;;;;;;;
Midi-Pyrénées;76;2;17;4629;0;;;;;;;;;;;;
Limousin;74;2;17;792;0;;;;;;;;;;;;
Rhône-Alpes;84;2;17;10823;0;;;;;;;;;;;;
Auvergne;85;2;17;1239;0;;;;;;;;;;;;
