,cim,count
330,B150,0
331,B159,461
332,B161,25
333,B162,0
334,B169,237
335,B170,0
336,B171,95
337,B172,413
338,B178,414
339,B179,501
340,B180,62
341,B181,832
342,B182,1118
343,B188,50
344,B189,33
345,B190,0
346,B199,309
347,B200,83
348,B201,58
349,B202,19
350,B203,49
351,B204,53
352,B205,12
353,B206,159
354,B207,67
355,B208,59
356,B209,43
357,B210,43
358,B211,0
359,B212,17
360,B213,13
361,B217,0
362,B218,11
363,B219,0
364,B220,135
365,B221,0
366,B222,53
367,B227,53
368,B230,88
369,B231,59
370,B232,477
371,B238,121
372,B250,69
373,B251,171
374,B252,0
375,B258,399
376,B259,225
377,B260,0
378,B268,18
379,B269,102
380,B270,850
381,B271,171
382,B278,419
383,B279,970
384,B300,0
385,B301,0
386,B302,18
387,B303,0
388,B308,0
389,B309,13
390,B330,0
391,B332,0
392,B333,0
393,B334,0
394,B338,334
395,B340,36
396,B341,105
397,B342,11
398,B343,55
399,B344,0
400,B348,1080
401,B349,3224
402,B350,43
403,B351,134
404,B352,0
405,B353,27
406,B354,0
407,B355,0
408,B358,29
409,B359,16
410,B360,0
411,B363,0
412,B368,121
413,B369,109
414,B370,1044
415,B371,217
416,B372,111
417,B373,55
418,B374,93
419,B375,0
420,B376,21
421,B377,448
422,B378,516
423,B379,47
424,B380,0
425,B381,0
426,B384,0
427,B390,0
428,B391,0
429,B393,16
430,B394,0
431,B395,0
432,B399,0
433,B403,0
434,B418,0
435,B419,0
436,B421,0
437,B430,0
438,B431,0
439,B432,0
440,B438,0
441,B439,0
442,B440,285
443,B441,632
444,B442,0
445,B447,22
446,B448,876
447,B449,191
448,B450,17
449,B451,51
450,B452,0
451,B457,13
452,B458,0
453,B459,0
454,B460,38
455,B461,15
456,B462,0
457,B463,0
458,B464,11
459,B465,0
460,B470,0
461,B471,0
462,B479,0
463,B483,0
464,B487,31
465,B488,118
466,B500,166
467,B508,557
468,B509,1727
469,B510,0
470,B518,18
471,B519,108
472,B520,0
473,B528,0
474,B529,49
475,B530,131
476,B538,29
477,B54,346
478,B550,50
479,B551,71
480,B552,14
481,B559,0
482,B572,0
483,B573,0
484,B580,32
485,B581,0
486,B582,113
487,B583,0
488,B588,43
489,B589,62
490,B59,742
491,B600,0
492,B602,0
493,B6080,0
494,B6088,0
495,B650,54
496,B651,15
497,B652,0
498,B653,0
499,B658,0
500,B659,0
501,B663,0
502,B665,0
503,B670,43
504,B671,0
505,B672,0
506,B673,0
507,B674,0
508,B675,92
509,B676,0
510,B678,57
511,B679,15
512,B680,0
513,B681,0
514,B689,14
515,B690,39
516,B698,0
517,B711,0
518,B718,0
519,B73,0
520,B740,0
521,B743,0
522,B744,0
523,B748,0
524,B749,0
525,B75,0
526,B760,0
527,B768,0
528,B769,0
529,B770,0
530,B779,0
531,B780,14
532,B787,0
533,B789,0
534,B79,0
535,B80,227
536,B810,0
537,B811,0
538,B814,0
539,B820,0
540,B829,20
541,B830,42
542,B832,0
543,B838,0
544,B839,0
545,B850,20
546,B851,15
547,B852,19
548,B86,1750
549,B870,0
550,B871,0
551,B878,0
552,B879,0
553,B880,0
554,B881,0
555,B882,0
556,B888,0
557,C000,183
558,C001,397
559,C002,13
560,C003,32
561,C004,66
562,C005,0
563,C006,46
564,C008,25
565,C009,35
566,C01,2314
567,C020,159
568,C021,1319
569,C022,236
570,C023,408
571,C024,131
572,C028,352
573,C029,601
574,C030,149
575,C031,467
576,C039,60
577,C040,1232
578,C041,474
579,C048,328
580,C049,600
581,C050,137
582,C051,509
583,C052,152
584,C058,91
585,C059,132
586,C060,409
587,C061,69
588,C062,400
589,C068,84
590,C069,131
591,C07,1177
592,C080,198
593,C081,21
594,C088,29
595,C089,30
596,C090,722
597,C091,413
598,C098,488
599,C099,1378
600,C100,509
601,C101,340
602,C102,628
603,C103,228
604,C104,0
605,C108,649
606,C109,977
607,C110,28
608,C111,173
609,C112,58
610,C113,25
611,C118,86
612,C119,381
613,C12,2654
614,C130,104
615,C131,258
616,C132,274
617,C138,317
618,C139,526
619,C140,301
620,C142,0
621,C148,288
622,C150,360
623,C151,540
624,C152,304
625,C153,1052
626,C154,1664
627,C155,3029
628,C158,300
629,C159,2150
630,C160,3454
0,C161,874
1,C162,1313
2,C163,2170
3,C164,272
4,C165,830
5,C166,393
6,C168,575
7,C169,1856
8,C170,1035
9,C171,210
10,C172,456
11,C173,13
12,C178,171
13,C179,605
14,C180,6307
15,C181,580
16,C182,8988
17,C183,3613
18,C184,3450
19,C185,2260
20,C186,3758
21,C187,12015
22,C188,574
23,C189,3050
24,C19,5533
25,C20,20596
26,C210,664
27,C211,1589
28,C212,12
29,C218,510
30,C220,15334
31,C221,3216
32,C222,68
33,C223,27
34,C224,29
35,C227,195
36,C229,1952
37,C23,927
38,C240,909
39,C241,1269
40,C248,199
41,C249,693
42,C250,9794
43,C251,2139
44,C252,1705
45,C253,276
46,C254,245
47,C257,411
48,C258,550
49,C259,2403
50,C260,63
51,C261,46
52,C268,255
53,C300,595
54,C301,57
55,C310,303
56,C311,382
57,C312,14
58,C313,62
59,C318,69
60,C319,39
61,C320,3386
62,C321,1490
63,C322,224
64,C323,157
65,C328,703
66,C329,1503
67,C33,203
68,C340,2080
69,C341,19096
70,C342,1595
71,C343,8901
72,C348,3136
73,C349,17894
74,C37,479
75,C380,67
76,C381,234
77,C382,58
78,C383,354
79,C384,624
80,C388,54
81,C390,19
82,C398,74
83,C400,136
84,C401,68
85,C402,676
86,C403,57
87,C408,24
88,C409,28
89,C410,270
90,C411,437
91,C412,266
92,C413,166
93,C414,343
94,C418,61
95,C419,88
96,C430,63
97,C431,136
98,C432,337
99,C433,1667
100,C434,554
101,C435,2614
102,C436,1924
103,C437,3020
104,C438,61
105,C439,974
106,C440,2009
107,C441,6750
108,C442,8165
109,C443,47241
110,C444,6107
111,C445,3806
112,C446,3764
113,C447,3868
114,C448,147
115,C449,1474
116,C450,1374
117,C451,190
118,C452,0
119,C457,42
120,C459,36
121,C460,250
122,C461,26
123,C462,0
124,C463,0
125,C4670,0
126,C4671,18
127,C4672,28
128,C4678,19
129,C468,23
130,C469,25
131,C470,29
132,C471,25
133,C472,16
134,C473,40
135,C474,77
136,C475,15
137,C476,14
138,C478,18
139,C479,20
140,C480,585
141,C481,292
142,C482,477
143,C488,83
144,C490,398
145,C491,545
146,C492,1300
147,C496,179
148,C498,155
149,C500,1482
150,C501,3119
151,C502,8049
152,C503,4070
153,C504,22555
154,C505,5010
155,C506,485
156,C508,11499
157,C509,18636
158,C510,275
159,C511,118
160,C512,34
161,C518,213
162,C519,733
163,C52,353
164,C530,1117
165,C531,662
166,C538,780
167,C539,2480
168,C540,86
169,C541,10187
170,C542,240
171,C543,167
172,C548,328
173,C549,749
174,C55,296
175,C56,8092
176,C570,184
177,C571,0
178,C573,0
179,C574,57
180,C577,0
181,C578,101
182,C579,23
183,C58,36
184,C600,99
185,C601,304
186,C602,112
187,C608,36
188,C609,241
189,C61,50610
190,C620,84
191,C621,935
192,C629,1715
193,C630,18
194,C631,42
195,C632,34
196,C637,0
197,C638,12
198,C639,0
199,C64,15034
200,C65,1161
201,C66,1926
202,C670,2643
203,C671,2127
204,C672,8061
205,C673,962
206,C674,1304
207,C675,1290
208,C676,1050
209,C677,48
210,C678,6518
211,C679,26704
212,C680,241
213,C681,0
214,C688,92
215,C689,49
216,C690,218
217,C691,27
218,C692,166
219,C693,303
220,C694,21
221,C695,32
222,C696,191
223,C698,40
224,C699,37
225,C700,425
226,C701,29
227,C709,46
228,C710,1078
229,C711,2081
230,C712,1471
231,C713,828
232,C714,248
233,C715,217
234,C716,457
235,C717,371
236,C718,714
237,C719,3150
238,C720,160
239,C721,29
240,C722,0
241,C723,45
242,C724,0
243,C725,12
244,C728,60
245,C729,43
246,C73,10295
247,C740,269
248,C741,205
249,C749,378
250,C750,31
251,C751,66
252,C752,0
253,C753,61
254,C754,0
255,C755,37
256,C758,30
257,C760,152
258,C761,40
259,C762,74
260,C763,132
261,C764,31
262,C765,40
263,C767,20
264,C768,0
265,C770,3687
266,C771,1976
267,C772,1016
268,C773,2109
269,C774,1118
270,C775,441
271,C778,184
272,C779,391
273,C780,7339
274,C781,449
275,C782,5208
276,C783,182
277,C784,271
278,C785,419
279,C786,9046
280,C787,14605
281,C788,718
282,C790,232
283,C791,435
284,C792,1094
285,C793,11439
286,C794,1104
287,C795,11594
288,C796,460
289,C797,571
290,C798,1513
291,C800,756
292,C810,199
293,C811,1388
294,C812,260
295,C813,35
296,C814,80
297,C817,265
298,C819,1167
299,C820,510
300,C821,692
301,C822,192
302,C823,137
303,C824,122
304,C825,49
305,C826,68
306,C827,322
307,C829,799
308,C830,1465
309,C831,1112
310,C833,7058
311,C835,204
312,C837,361
313,C838,298
314,C839,239
315,C840,483
316,C841,178
317,C844,519
318,C845,221
319,C846,90
320,C847,59
321,C848,197
322,C849,68
323,C851,2013
324,C852,166
325,C857,508
326,C859,1389
327,C860,27
328,C861,19
329,C862,28
330,C863,0
331,C864,0
332,C865,248
333,C866,52
334,C880,848
335,C882,0
336,C883,0
337,C884,975
338,C887,16
339,C889,15
340,C900,7597
341,C901,211
342,C902,259
343,C903,137
344,C910,2075
345,C911,1775
346,C913,33
347,C914,190
348,C915,93
349,C916,57
350,C917,91
351,C918,40
352,C919,94
353,C920,5245
354,C921,553
355,C922,52
356,C923,49
357,C924,160
358,C925,235
359,C926,11
360,C927,134
361,C928,129
362,C929,104
363,C930,178
364,C931,422
365,C933,14
366,C937,11
367,C939,0
368,C940,68
369,C942,26
370,C943,0
371,C944,48
372,C946,126
373,C947,41
374,C950,478
375,C951,42
376,C957,14
377,C959,141
378,C960,149
379,C962,69
380,C964,21
381,C965,99
382,C966,151
383,C967,43
384,C968,27
385,D000,561
386,D001,364
387,D002,214
388,D010,4821
389,D011,230
390,D012,1167
391,D013,318
392,D014,120
393,D015,82
394,D017,48
395,D020,552
396,D021,0
397,D022,210
398,D023,33
399,D030,0
400,D031,46
401,D032,63
402,D033,466
403,D034,55
404,D035,110
405,D036,119
406,D037,141
407,D038,33
408,D039,11
409,D040,52
410,D041,194
411,D042,268
412,D043,1389
413,D044,248
414,D045,162
415,D046,384
416,D047,388
417,D048,58
418,D049,82
419,D050,359
420,D051,4127
421,D057,819
422,D059,1275
423,D060,1963
424,D061,980
425,D067,1171
426,D069,4439
427,D070,142
428,D071,446
429,D072,80
430,D073,74
431,D074,105
432,D075,205
433,D076,15
434,D090,2798
435,D091,117
436,D092,112
437,D093,49
438,D097,47
439,D100,539
440,D101,1015
441,D102,131
442,D103,1171
443,D104,342
444,D105,458
445,D106,379
446,D107,129
447,D109,102
448,D110,4474
449,D117,513
450,D119,103
451,D120,27272
452,D121,345
453,D122,49947
454,D123,30469
455,D124,22908
456,D125,50290
457,D126,22851
458,D127,4331
459,D128,29089
460,D129,2015
461,D130,1902
462,D131,8936
463,D132,2599
464,D133,477
465,D134,1119
466,D135,605
467,D136,2369
468,D137,276
469,D140,1437
470,D141,1762
471,D142,63
472,D143,1266
473,D150,272
474,D151,434
475,D152,419
476,D157,78
477,D160,502
478,D161,1092
479,D162,1744
480,D163,1152
481,D164,843
482,D165,830
483,D166,313
484,D167,130
485,D168,215
486,D170,5938
487,D171,10830
488,D172,9676
489,D173,920
490,D174,102
491,D175,539
492,D176,38
493,D177,649
494,D179,648
495,D180,4324
496,D181,723
497,D190,52
498,D191,38
499,D197,13
500,D200,182
501,D201,212
502,D210,1110
503,D211,4783
504,D212,1978
505,D216,328
506,D219,172
507,D220,228
508,D221,567
509,D222,186
510,D223,1989
511,D224,805
512,D225,1714
513,D226,626
514,D227,1439
515,D229,124
516,D230,341
517,D231,3315
518,D232,1085
519,D233,3089
520,D234,1424
521,D235,1756
522,D236,1665
523,D237,1501
524,D239,226
525,D24,11029
526,D250,14186
527,D251,10873
528,D252,3672
529,D259,15662
530,D260,589
531,D261,2630
532,D267,171
533,D269,307
534,D27,14691
535,D280,701
536,D281,320
537,D282,152
538,D287,41
539,D289,0
540,D290,271
541,D291,25194
542,D292,346
543,D293,626
544,D294,99
545,D297,33
546,D299,0
547,D300,1430
548,D301,33
549,D302,129
550,D303,3773
551,D304,162
552,D307,0
553,D310,833
554,D311,46
555,D312,20
556,D313,13
557,D314,0
558,D315,44
559,D316,356
560,D319,39
561,D320,3793
562,D321,445
563,D329,631
564,D330,809
565,D331,321
566,D332,387
567,D333,978
568,D334,351
569,D337,105
570,D339,76
571,D34,6546
572,D350,2030
573,D351,2812
574,D352,3736
575,D353,34
576,D354,28
577,D355,29
578,D356,36
579,D357,14
580,D358,0
581,D360,575
582,D361,2068
583,D367,1034
584,D370,885
585,D371,1316
586,D372,575
587,D373,120
588,D374,31846
589,D375,4562
590,D376,1999
591,D377,3656
592,D380,490
593,D381,3212
594,D382,150
595,D383,308
596,D384,48
597,D385,211
598,D390,619
599,D391,2003
600,D392,31
601,D397,128
602,D399,11
603,D400,923
604,D401,153
605,D407,49
606,D409,0
607,D410,1048
608,D411,95
609,D412,256
610,D413,46
611,D414,5647
612,D417,13
613,D419,0
614,D420,576
615,D421,41
616,D429,64
617,D430,1185
618,D431,272
619,D432,578
620,D433,53
621,D434,101
622,D437,75
623,D439,41
624,D440,455
625,D441,964
626,D442,24
627,D443,305
628,D445,34
629,D446,50
630,D447,153
631,D448,109
632,D45,1060
633,D460,270
634,D461,264
635,D462,1193
636,D464,1506
637,D465,403
638,D466,51
639,D467,1047
640,D469,1684
641,D470,60
642,D471,779
643,D472,1510
644,D473,653
645,D474,231
646,D475,70
647,D477,134
648,D479,78
649,D480,995
650,D481,1203
651,D482,85
652,D484,207
653,D485,1127
654,D486,858
655,D487,671
656,D500,21961
657,D501,89
658,D508,23967
659,D509,17857
660,D510,1723
661,D511,51
662,D512,37
663,D513,149
664,D518,446
665,D519,613
666,D520,245
667,D521,27
668,D528,623
669,D529,1473
670,D530,52
671,D531,116
672,D532,17
673,D538,146
674,D539,551
675,D550,126
676,D551,0
677,D552,16
678,D558,0
679,D559,0
680,D560,13
681,D561,154
682,D563,0
683,D568,25
684,D569,72
685,D570,11757
686,D571,1454
687,D572,166
688,D573,59
689,D578,178
690,D580,182
691,D581,0
692,D582,40
693,D588,62
694,D589,71
695,D590,108
696,D591,1093
697,D592,68
698,D593,386
699,D594,249
700,D595,49
701,D596,19
702,D598,293
703,D599,492
704,D600,124
705,D601,188
706,D608,89
707,D609,145
708,D610,407
709,D611,16104
710,D612,205
711,D613,477
712,D618,1686
713,D619,2669
714,D62,7471
715,D630,15188
716,D638,4968
717,D640,18
718,D641,58
719,D642,114
720,D643,107
721,D644,26
722,D648,13528
723,D649,6786
724,D65,205
725,D66,359
726,D67,80
727,D680,250
728,D681,12
729,D682,70
730,D683,2466
731,D684,218
732,D685,50
733,D686,169
734,D688,942
735,D689,384
736,D690,2601
737,D691,78
738,D692,1612
739,D693,4089
740,D694,399
741,D695,3168
742,D696,3419
743,D698,343
744,D70,5729
745,D71,121
746,D720,0
747,D721,609
748,D728,771
749,D730,0
750,D731,83
751,D732,38
752,D733,139
753,D734,182
754,D735,450
755,D738,126
756,D740,0
757,D748,0
758,D749,0
759,D750,22
760,D751,372
761,D758,407
762,D761,134
763,D762,220
764,D763,365
765,D77,27
766,D800,59
767,D801,298
768,D802,19
769,D803,84
770,D805,0
771,D806,0
772,D808,45
773,D809,65
774,D810,0
775,D811,47
776,D812,0
777,D813,0
778,D816,0
779,D817,0
780,D818,36
781,D819,98
782,D820,11
783,D821,41
784,D822,0
785,D823,18
786,D824,48
787,D828,14
788,D829,14
789,D830,37
790,D831,0
791,D838,53
792,D839,217
793,D840,0
794,D841,216
795,D848,94
796,D849,161
797,D860,1542
798,D861,642
799,D862,1098
800,D863,241
801,D868,1204
802,D869,555
803,D890,67
804,D891,317
805,D892,48
806,D893,35
807,D898,168
808,E000,0
809,E001,0
810,E002,0
811,E009,0
812,E010,0
813,E011,107
814,E012,0
815,E018,0
816,E02,0
817,E030,18
818,E031,174
819,E032,235
820,E033,0
821,E034,20
822,E035,34
823,E038,448
824,E039,819
825,E040,706
826,E041,5557
827,E042,16174
828,E048,307
829,E049,602
830,E050,4646
831,E051,812
832,E052,2557
833,E053,17
834,E054,18
835,E055,87
836,E058,592
837,E059,983
838,E060,95
839,E061,106
840,E062,25
841,E063,789
842,E064,45
843,E065,90
844,E069,33
845,E070,11
846,E071,11
847,E078,171
848,E100,969
849,E101,8289
850,E102,722
851,E103,1520
852,E104,875
853,E105,619
854,E106,2105
855,E107,2329
856,E109,13772
857,E120,0
858,E121,28
859,E122,0
860,E123,0
861,E124,15
862,E125,0
863,E126,12
864,E127,16
865,E129,27
866,E130,89
867,E131,371
868,E132,103
869,E133,66
870,E134,119
871,E135,104
872,E136,204
873,E137,191
874,E139,1247
875,E140,203
876,E141,540
877,E142,47
878,E143,50
879,E144,94
880,E145,81
881,E146,95
882,E147,149
883,E149,376
884,E15,206
885,E160,2863
886,E161,1917
887,E162,4108
888,E163,0
889,E164,18
890,E168,30
891,E169,36
892,E200,44
893,E201,44
894,E208,46
895,E209,54
896,E210,3906
897,E211,582
898,E212,140
899,E213,345
900,E214,35
901,E220,723
902,E221,299
903,E222,700
904,E228,95
905,E229,0
906,E230,2285
907,E231,47
908,E232,389
909,E233,16
910,E236,266
911,E240,694
912,E241,0
913,E242,43
914,E243,59
915,E244,0
916,E248,277
917,E249,338
918,E250,283
919,E258,73
920,E259,0
921,E260,649
922,E261,71
923,E268,62
924,E269,60
925,E270,152
926,E271,359
927,E272,345
928,E273,326
929,E274,1085
930,E275,102
931,E278,248
932,E280,0
1,E281,300
2,E282,927
3,E283,180
4,E288,21
5,E289,0
6,E290,0
7,E291,112
8,E298,0
9,E299,0
10,E300,393
11,E301,2200
12,E308,765
13,E309,49
14,E310,28
15,E311,0
16,E318,0
17,E319,0
18,E320,44
19,E328,14
20,E340,36
21,E341,0
22,E343,1653
23,E344,97
24,E345,0
25,E348,49
26,E350,12
27,E351,103
28,E358,14
29,E40,11
30,E41,264
31,E42,0
32,E43,9688
33,E440,5091
34,E441,790
35,E45,210
36,E46,931
37,E500,0
38,E503,0
39,E507,0
40,E508,0
41,E509,19
42,E511,23
43,E512,342
44,E518,0
45,E519,0
46,E52,0
47,E530,0
48,E531,0
49,E538,273
50,E539,0
51,E54,41
52,E550,62
53,E559,2086
54,E560,14
55,E561,31
56,E568,30
57,E569,0
58,E58,12
59,E59,0
60,E60,0
61,E611,991
62,E612,35
63,E616,0
64,E617,12
65,E618,0
66,E619,0
67,E631,64
68,E638,47
69,E639,34
70,E65,10401
71,E673,0
72,E678,0
73,E700,75
74,E701,16
75,E702,22
76,E703,24
77,E708,0
78,E709,0
79,E710,88
80,E711,247
81,E712,0
82,E713,145
83,E720,61
84,E721,34
85,E722,257
86,E723,30
87,E724,12
88,E725,0
89,E728,15
90,E729,0
91,E730,0
92,E731,0
93,E738,145
94,E739,180
95,E740,240
96,E741,20
97,E742,13
98,E743,33
99,E744,53
100,E748,39
101,E749,0
102,E750,12
103,E751,0
104,E752,481
105,E753,0
106,E754,0
107,E755,21
108,E756,0
109,E760,137
110,E761,21
111,E762,82
112,E763,18
113,E769,0
114,E770,0
115,E771,0
116,E778,0
117,E780,982
118,E781,410
119,E782,352
120,E783,17
121,E784,18
122,E785,74
123,E786,22
124,E788,21
125,E789,0
126,E790,37
127,E791,0
128,E798,0
129,E800,23
130,E801,53
131,E802,161
0,E806,42
1,E807,12
2,E830,101
3,E831,1916
4,E832,0
5,E833,247
6,E834,183
7,E838,15
8,E839,0
9,E840,2837
10,E841,68
11,E848,35
12,E849,100
13,E850,246
14,E851,65
15,E852,16
16,E853,145
17,E854,512
18,E858,185
19,E859,150
20,E872,1283
21,E873,109
22,E874,0
23,E877,757
24,E878,242
25,E880,293
26,E881,325
27,E882,110
28,E883,103
29,E888,287
30,E890,143
31,E891,64
32,E892,145
33,E893,141
34,E894,20
35,E895,0
36,E896,87
37,E898,20
38,F000,241
39,F001,4131
40,F002,1054
41,F009,2139
42,F010,100
43,F011,222
44,F012,345
45,F013,1333
46,F018,434
47,F019,1337
48,F020,217
49,F021,12
50,F022,11
51,F023,565
52,F024,0
53,F028,356
54,F050,2169
55,F051,5817
56,F058,705
57,F059,1237
58,F060,134
59,F061,40
60,F062,183
61,F063,39
62,F064,100
63,F065,0
64,F066,97
65,F067,10470
66,F068,643
67,F069,217
68,F070,947
69,F071,0
70,F072,620
71,F078,1344
72,F079,471
73,F100,52120
74,F101,702
75,F102,6738
76,F103,2822
77,F104,1449
78,F105,178
79,F106,886
80,F107,114
81,F108,402
82,F109,1112
83,F110,324
84,F111,27
85,F112,314
86,F113,225
87,F114,0
88,F115,15
89,F116,0
90,F117,0
91,F118,29
92,F119,55
93,F120,433
94,F121,51
95,F122,220
96,F123,62
97,F124,0
98,F125,36
99,F126,0
100,F127,0
101,F128,31
102,F129,53
103,F130,493
104,F131,28
105,F132,182
106,F133,90
107,F134,0
108,F135,14
109,F136,0
110,F138,16
111,F139,36
112,F140,160
113,F141,17
114,F142,81
115,F143,20
116,F144,0
117,F145,0
118,F148,0
119,F149,33
120,F150,58
121,F151,0
122,F152,0
123,F153,0
124,F154,0
125,F155,0
126,F158,0
127,F159,15
128,F160,63
129,F162,0
130,F163,0
131,F164,0
132,F165,0
133,F168,0
134,F169,0
135,F170,11
136,F171,28
137,F172,107
138,F173,21
139,F174,0
140,F175,0
141,F179,0
142,F180,0
143,F181,0
144,F187,0
145,F188,0
146,F189,0
147,F190,303
148,F191,23
149,F192,240
150,F193,115
151,F194,0
152,F195,24
153,F196,0
154,F197,0
155,F198,35
156,F199,150
157,F200,1026
158,F201,124
159,F202,49
160,F203,180
161,F204,19
162,F205,17
163,F206,65
164,F208,118
165,F209,1094
166,F220,3527
167,F228,403
168,F229,561
169,F230,789
170,F231,454
171,F232,232
172,F233,482
173,F238,96
174,F239,483
175,F250,118
176,F251,180
177,F252,63
178,F258,29
179,F259,183
180,F300,171
181,F301,127
182,F302,175
183,F308,100
184,F309,349
185,F310,320
186,F311,336
187,F312,332
188,F313,362
189,F314,868
190,F315,185
191,F316,399
192,F317,289
193,F318,377
194,F319,889
195,F320,846
196,F321,2844
197,F322,10571
198,F323,1379
199,F328,2611
200,F329,10171
201,F330,106
202,F331,695
203,F332,2574
204,F333,497
205,F334,59
206,F338,234
207,F339,777
208,F340,19
209,F341,438
210,F348,67
211,F349,91
212,F380,45
213,F381,45
214,F388,97
215,F400,18
216,F401,79
217,F402,297
218,F408,959
219,F409,112
220,F410,2060
221,F411,8216
222,F412,11194
223,F413,134
224,F418,1787
225,F419,4141
226,F420,140
227,F421,58
228,F422,102
229,F428,51
230,F429,60
231,F430,685
232,F431,633
233,F432,1715
234,F438,99
235,F439,191
236,F440,55
237,F441,85
238,F442,29
239,F443,12
240,F444,541
241,F445,169
242,F446,108
243,F447,70
244,F448,481
245,F449,470
246,F450,980
247,F451,261
248,F452,138
249,F453,231
250,F454,948
251,F458,647
252,F459,635
253,F480,111
254,F481,14
255,F488,106
256,F489,84
